Demo,Device Analysis Template Training,,,,,,
Var1,Vg,,,,,,
Var2,Vd,,,,,,
Legend,Vd=0.5V,Vd=1V,Vd=1.5V,Vd=2V,Vd=2.5V,Vd=3V,
Vg (V),Id (A),Id (A),Id (A),Id (A),Id (A),Id (A),
0.0,6.0E-13,1.0E-12,1.5E-12,2.0E-12,2.5E-12,3.0E-12,
0.2,1.6E-12,3.0E-12,5.0E-12,7.0E-12,9.0E-12,1.2E-11,
0.4,5.5E-12,1.0E-11,1.6E-11,2.2E-11,2.8E-11,3.5E-11,
0.6,1.6E-11,3.0E-11,4.5E-11,6.0E-11,7.6E-11,9.5E-11,
0.8,4.5E-11,8.0E-11,1.2E-10,1.5E-10,1.8E-10,2.2E-10,
1.0,1.1E-10,2.0E-10,2.8E-10,3.5E-10,4.2E-10,5.0E-10,
1.2,2.8E-10,5.0E-10,6.5E-10,8.0E-10,9.5E-10,1.1E-09,
1.4,5.8E-10,1.0E-09,1.3E-09,1.6E-09,1.8E-09,2.1E-09,
1.6,1.1E-09,1.9E-09,2.4E-09,2.9E-09,3.3E-09,3.8E-09,
1.8,1.8E-09,3.1E-09,3.9E-09,4.8E-09,5.5E-09,6.2E-09,
2.0,2.8E-09,4.7E-09,5.9E-09,7.1E-09,8.0E-09,9.0E-09,
