Demo,Device Analysis Template Training,,,,,,
Var1,Vg,,,,,,
Var2,Vd,,,,,,
Legend,Vd=0.5V,Vd=1V,Vd=1.5V,Vd=2V,Vd=2.5V,Vd=3V,
Vg (V),Id (A),Id (A),Id (A),Id (A),Id (A),Id (A),
0.0,8.0E-13,1.3E-12,1.9E-12,2.5E-12,3.0E-12,3.6E-12,
0.2,2.2E-12,4.1E-12,6.6E-12,8.8E-12,1.1E-11,1.4E-11,
0.4,7.2E-12,1.3E-11,2.0E-11,2.8E-11,3.5E-11,4.3E-11,
0.6,2.1E-11,3.8E-11,5.8E-11,7.6E-11,9.5E-11,1.2E-10,
0.8,5.7E-11,1.0E-10,1.5E-10,1.9E-10,2.4E-10,2.9E-10,
1.0,1.4E-10,2.5E-10,3.6E-10,4.5E-10,5.4E-10,6.3E-10,
1.2,3.6E-10,6.2E-10,8.2E-10,1.0E-09,1.2E-09,1.4E-09,
1.4,7.2E-10,1.2E-09,1.6E-09,2.0E-09,2.4E-09,2.7E-09,
1.6,1.4E-09,2.3E-09,3.0E-09,3.6E-09,4.2E-09,4.8E-09,
1.8,2.2E-09,3.8E-09,4.9E-09,5.8E-09,6.7E-09,7.6E-09,
2.0,3.4E-09,5.6E-09,7.1E-09,8.6E-09,9.9E-09,1.1E-08,
