Demo,Device Analysis Template Training,,,,,,
Var1,Vg,,,,,,
Var2,Vd,,,,,,
Legend,Vd=0.5V,Vd=1V,Vd=1.5V,Vd=2V,Vd=2.5V,Vd=3V,
Vg (V),Id (A),Id (A),Id (A),Id (A),Id (A),Id (A),
0.0,7.0E-13,1.2E-12,1.8E-12,2.3E-12,2.9E-12,3.4E-12,
0.2,2.0E-12,3.8E-12,6.1E-12,8.1E-12,1.0E-11,1.3E-11,
0.4,6.5E-12,1.2E-11,1.9E-11,2.5E-11,3.2E-11,3.9E-11,
0.6,1.9E-11,3.5E-11,5.2E-11,6.9E-11,8.6E-11,1.1E-10,
0.8,5.1E-11,9.1E-11,1.4E-10,1.8E-10,2.2E-10,2.6E-10,
1.0,1.3E-10,2.3E-10,3.3E-10,4.1E-10,4.9E-10,5.8E-10,
1.2,3.2E-10,5.7E-10,7.5E-10,9.2E-10,1.1E-09,1.3E-09,
1.4,6.5E-10,1.1E-09,1.5E-09,1.9E-09,2.2E-09,2.5E-09,
1.6,1.2E-09,2.1E-09,2.8E-09,3.3E-09,3.9E-09,4.5E-09,
1.8,2.0E-09,3.4E-09,4.4E-09,5.2E-09,6.0E-09,6.9E-09,
2.0,3.1E-09,5.0E-09,6.5E-09,7.9E-09,9.1E-09,1.0E-08,
