Demo,Device Analysis Template Training,,,,,,
Var1,Vg,,,,,,
Var2,Vd,,,,,,
Legend,Vd=0.5V,Vd=1V,Vd=1.5V,Vd=2V,Vd=2.5V,Vd=3V,
Vg (V),Id (A),Id (A),Id (A),Id (A),Id (A),Id (A),
0.0,9.0E-13,1.5E-12,2.2E-12,2.8E-12,3.4E-12,4.0E-12,
0.2,2.5E-12,4.6E-12,7.3E-12,9.8E-12,1.2E-11,1.5E-11,
0.4,8.1E-12,1.5E-11,2.3E-11,3.1E-11,3.9E-11,4.8E-11,
0.6,2.3E-11,4.3E-11,6.4E-11,8.5E-11,1.1E-10,1.3E-10,
0.8,6.3E-11,1.1E-10,1.7E-10,2.2E-10,2.7E-10,3.2E-10,
1.0,1.6E-10,2.8E-10,4.0E-10,5.0E-10,6.0E-10,7.0E-10,
1.2,4.0E-10,7.0E-10,9.2E-10,1.1E-09,1.4E-09,1.6E-09,
1.4,8.1E-10,1.4E-09,1.8E-09,2.3E-09,2.7E-09,3.1E-09,
1.6,1.5E-09,2.6E-09,3.4E-09,4.1E-09,4.9E-09,5.6E-09,
1.8,2.5E-09,4.2E-09,5.4E-09,6.5E-09,7.6E-09,8.7E-09,
2.0,3.8E-09,6.2E-09,7.9E-09,9.6E-09,1.1E-08,1.3E-08,
